char_filmid,char_id,films,film_id
169,85,The Force Awakens,7
170,86,The Force Awakens,7
171,87,Attack of the Clones,2
172,87,The Phantom Menace,1
173,87,Revenge of the Sith,3
174,1,The Last Jedi,8
175,85,The Last Jedi,8
176,2,The Last Jedi,8
177,13,The Last Jedi,8
178,33,The Last Jedi,8
179,5,The Last Jedi,8
180,30,The Last Jedi,8
181,3,The Last Jedi,8
182,83,The Last Jedi,8
183,89,The Last Jedi,8
184,19,The Last Jedi,8
185,85,The Rise of Skywalker,9
186,88,The Rise of Skywalker,10
187,2,The Rise of Skywalker,11
188,13,The Rise of Skywalker,12
189,82,The Rise of Skywalker,13
190,5,The Rise of Skywalker,14
191,1,The Rise of Skywalker,15
192,30,The Rise of Skywalker,16
193,84,The Rise of Skywalker,17
194,3,The Rise of Skywalker,18
195,83,The Rise of Skywalker,19
196,2,Rogue One: A Star Wars Story,10
197,5,Rogue One: A Star Wars Story,10
198,27,Rogue One: A Star Wars Story,10
199,3,Rogue One: A Star Wars Story,10
200,12,Rogue One: A Star Wars Story,10
201,90,Rogue One: A Star Wars Story,10
202,91,Rogue One: A Star Wars Story,10
203,92,Rogue One: A Star Wars Story,10
204,93,Rogue One: A Star Wars Story,10
205,94,Rogue One: A Star Wars Story,10
206,95,Rogue One: A Star Wars Story,10
207,96,Rogue One: A Star Wars Story,10
208,97,Rogue One: A Star Wars Story,10
209,14,Solo: A Star Wars Story,11
210,13,Solo: A Star Wars Story,11
211,24,Solo: A Star Wars Story,11
212,98,Solo: A Star Wars Story,11
213,99,Solo: A Star Wars Story,11
214,100,Solo: A Star Wars Story,11
215,101,Solo: A Star Wars Story,11
216,102,Solo: A Star Wars Story,11
217,103,Solo: A Star Wars Story,11
218,104,Solo: A Star Wars Story,11
219,11,The Clone Wars,12
220,42,The Clone Wars,12
221,10,The Clone Wars,12
222,21,The Clone Wars,12
223,87,The Clone Wars,12
224,77,The Clone Wars,12
225,48,The Clone Wars,12
226,34,The Clone Wars,12
227,16,The Clone Wars,12
228,15,The Clone Wars,12
229,32,The Clone Wars,12
230,2,The Clone Wars,12
231,65,The Clone Wars,12
